Name,Composition,Group,Structure/SG,C1,NS,r,11,44,12,K,GR,GV,G,GHS1,GHS2,GHSA,K/G,nVRH,EVRH,VP,VB,VS,VP/VS,C12/C11,C44/C11,AZ,AU,AL,AG,n_110,n_001,S11,S44,S12
Silicates,,,,,,g/cm3,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,GPa,-,-,GPa,km/s,km/s,km/s,-,-,-,-,-,-,%,-,-,GPa-1,GPa-1,GPa-1
Prp,Mg3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.567,297,93,108,171,93.59424920127796,93.6,93.59712460063898,93.59722088198399,93.59720238924491,93.59721163561446,1.8269792018678381,0.26855200724304495,237.46564056863588,9.106357913737726,6.9238316640203275,5.122473246006505,1.777726788683,0.36363636363636365,0.31313131313131315,0.9841269841269841,0.0003072196620577117,0.00013738858887284906,0.00307210223955644,0.27408195848855776,0.26397019691325174,0.004177109440267335,0.010752688172043012,-0.001113895850737956
Prp,Mg3(Al0.985Mg0.015)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.567,296.2,91.6,111.1,172.79999999999998,91.97764999457523,91.97999999999999,91.9788249972876,91.97886660481332,91.97886172749064,91.97886416615198,1.8786932753826302,0.2739629360560722,234.35522789706434,9.10084968059618,6.960177486788898,5.0779962284254845,1.7922127688184692,0.37508440243079,0.30925050641458474,0.9897352782279848,0.00012774872074405863,5.713023489563944e-05,0.0012774708879073314,0.27754019979273026,0.2709834024410117,0.004244660877336908,0.01091703056768559,-0.001157824265828948
Prp-Alm,(Mg0.90Fe0.08Ca0.02)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.609,297.6,92.7,109.8,172.4,93.17630057803468,93.18,93.17815028901734,93.17821369730164,93.17820413080031,93.17820891405097,1.8502191711818123,0.2710153527492007,236.8617191162268,9.066081311459394,6.911545791342507,5.08116855065119,1.7842512447845302,0.36895161290322576,0.31149193548387094,0.987220447284345,0.00019851732373865616,8.877788373496762e-05,0.001985133829040175,0.27546741673954667,0.26731746519488503,0.0041943717584733715,0.010787486515641855,-0.0011304418730495242
Prp-Alm-Grs,(Mg0.73Fe0.16Ca0.10Mn0.01)3(Al0.91Cr0.05Fe0.04)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.704,295.6,91.6,107.2,170,92.6225848003435,92.64,92.63129240017176,92.63160226422865,92.63150428891578,92.63155327657222,1.8352329498501607,0.26943291801715596,235.17842362250087,8.901737245615747,6.7746828924855595,5.000844755857214,1.7800467081465852,0.36265223274695535,0.3098782138024357,0.9723991507430996,0.0009401162628979165,0.0004203932535038038,0.009400278893477363,0.27909119082585815,0.2614391892539513,0.0041921651887931385,0.01091703056768559,-0.0011156904375338244
Prp-Alm-Grs,(Mg0.73Fe0.16Ca0.11Mn0.01)3(Al0.90Cr0.06Fe0.04)Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.705,296.9,91.7,108.5,171.29999999999998,92.68390557939914,92.7,92.69195278969957,92.69224341488135,92.69215638097192,92.69219989792663,1.8480568684171228,0.2707883717462492,235.58371151920502,8.921448633394155,6.7996189462178815,5.0018067663989125,1.783645200635613,0.36544291007073093,0.30885820141461773,0.9734607218683653,0.0008682424688650769,0.0003882561271967988,0.00868167090911347,0.2800769378136687,0.2630907788724047,0.0041872050416675455,0.010905125408942203,-0.0011206505846594196
Prp-Alm,(Mg0.73Fe0.14Ca0.12Mn0.01)3(Al0.88Cr0.09Fe0.03)Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.699,297.5,90.7,108.7,171.63333333333333,92.14464055101162,92.18,92.1623202755058,92.16300375646183,92.16271944906582,92.16286160276383,1.8622939702501036,0.2722746482593104,234.51156722256218,8.923034988276278,6.811749254666068,4.991539754441427,1.7876317583841022,0.3653781512605042,0.30487394957983194,0.9608050847457626,0.001918692654122367,0.0008579008462293762,0.01918324586592741,0.2860611767644342,0.2608576473469109,0.004178448341129263,0.011025358324145534,-0.0011181618283622624
Prp-Alm-Uv,(Mg0.70Fe0.16Ca0.13Mn0.01)3(Al0.89Cr0.09Fe0.02)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.723,296,90.8,108.2,170.79999999999998,92.01510900064751,92.03999999999999,92.02755450032376,92.02802058175699,92.02785256149538,92.02793657162619,1.8559658672598878,0.271616415031569,234.04749787564805,8.878918193627543,6.773254825367051,4.971785948713913,1.7858609130033676,0.3655405405405405,0.30675675675675673,0.9669861554845579,0.0013525495770645435,0.0006047967613783318,0.013523666627690027,0.28320084660645334,0.2620191499904789,0.004200409191767281,0.011013215859030838,-0.0011244044397556157
Prp-Alm-Grs,(Mg0.68Fe0.25Ca0.05Mn0.02)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.831,290.4,92.2,106.2,167.6,92.15997395268072,92.16,92.15998697634035,92.1599873753474,92.15998738102745,92.15998737818742,1.818576645882414,0.2676482730089748,233.65289666217492,8.707671343915772,6.614254952160096,4.9047302419305545,1.775361929076927,0.36570247933884303,0.3174931129476584,1.001085776330076,1.413157912466545e-06,6.319833419327594e-07,1.4131577127775917e-05,0.2672723361843477,0.2679603233375424,0.00428220855716133,0.010845986984815618,-0.0011466730932186923
Prp-Alm,(Mg0.62Fe0.36Ca0.02)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.839,301.4,94.3,110,173.79999999999998,94.85505570737861,94.85999999999999,94.8575278536893,94.85761088890105,94.85759624360044,94.85760356625075,1.8322214792280227,0.2691122860988153,240.76970805615537,8.84406170287447,6.728462402638876,4.970806355652416,1.7792006105443412,0.3649635036496351,0.3128732581287326,0.9853709508881924,0.00026062356848033374,0.00011655136555552559,0.002606167761930559,0.2742078651685393,0.26488764044943824,0.004122411368155585,0.010604453870625663,-0.0011022490289186058
Prp-Alm-Grs,(Mg0.55Fe0.37Ca0.06Mn0.01)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.868,300.2,94.6,108.2,172.20000000000002,95.15507124895223,95.16,95.15753562447611,95.15761539494545,95.15760084706322,95.15760812100433,1.8096307230943809,0.266678307785763,241.0679723957498,8.793222602952781,6.672265832086036,4.959962127707498,1.7728406742930156,0.36042638241172553,0.3151232511658894,0.9854166666666666,0.00025898520084499665,0.00011581870334404881,0.002589784936855475,0.2717527270563896,0.26247953008826996,0.004117466769905794,0.010570824524312896,-0.001090866563427539
Prp-Alm-Grs,(Mg0.51Fe0.32Ca0.16Mn0.01)3(Al0.98Fe0.02)2(Si0.99Ti0.01)3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.81,299.1,93.7,106.7,170.83333333333334,94.68424369747902,94.70000000000002,94.69212184873952,94.69238720708005,94.69230385739282,94.69234553223643,1.8040923574003467,0.2660737389993787,239.7744175256368,8.830415936769729,6.696129122996809,4.985336025623857,1.7712779823431668,0.35673687729856235,0.3132731527917084,0.9740124740124738,0.0008320445887148864,0.0003720706950529671,0.008319753646542598,0.27514979340646495,0.2585807992093955,0.0041154099690685056,0.010672358591248666,-0.0010820952284366918
Prp-Alm,(Mg0.50Fe0.45Ca0.04Mn0.01)3(Al0.99Fe0.01)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.916,301.7,95,109.7,173.70000000000002,95.39748953974896,95.4,95.39874476987448,95.39878541501642,95.39878013234612,95.39878277368126,1.8207786739648164,0.2678857931686022,241.90942635968273,8.765739184018956,6.660066531981403,4.935714023712262,1.7759819839452622,0.36360623135565134,0.3148823334438184,0.9895833333333334,0.0001315789473679274,5.884311989672596e-05,0.0013157721608922333,0.2715070195750003,0.2648845871813804,0.0041118947099085265,0.010526315789473684,-0.0010964386234248065
Prp-Alm-Grs,(Fe0.50Mg0.35Ca0.14Mn0.01)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.937,304.5,95.4,109.9,174.76666666666665,96.15102548166564,96.16000000000001,96.15551274083282,96.15566304345867,96.15562748009286,96.15564526177576,1.8175418307810791,0.2675364854538795,243.7612413530619,8.7724314888179,6.66264377818427,4.942018725507796,1.7750704673658486,0.3609195402298851,0.3133004926108375,0.9804727646454267,0.00046668864369436847,0.0002086997666959592,0.004666668648816013,0.2743452119181615,0.2619029924801118,0.0040615990899822586,0.010482180293501047,-0.0010771470559581327
Alm-Prp-Grs,(Fe0.48Mg0.41Ca0.10Mn0.01)3(Al0.99Fe0.01)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.93,303.6,94.9,110.6,174.9333333333333,95.53359065303567,95.54,95.53679532651785,95.53690365206805,95.53688211407687,95.53689288307245,1.8310571621694078,0.2689880818461731,242.47010929425662,8.770696745413447,6.671753784283416,4.930478387685061,1.7788733781533583,0.3642951251646903,0.31258234519104083,0.9834196891191709,0.0003354499145551415,0.00015001273027867072,0.0033543866226761862,0.2747668990334635,0.26419888329018093,0.004089394035132061,0.01053740779768177,-0.0010919531151270061
Alm-Prp-Grs,(Fe0.51Mg0.39Ca0.09Mn0.01)3(Al0.99Fe0.01)Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.945,302.7,95.1,108.7,173.36666666666667,95.85099750623442,95.85999999999999,95.8554987531172,95.85564739719295,95.85561161675898,95.85562950697596,1.8086251589299547,0.26656877254811884,242.81516279544678,8.737460663343219,6.629172128510558,4.929297292772742,1.772557049085667,0.3591014205483978,0.3141724479682854,0.9804123711340206,0.00046960876776402927,0.00021000556361883173,0.0046958671555977945,0.27339595012246265,0.2609245464872425,0.004077328507404404,0.010515247108307046,-0.001077310667853327
Alm-Prp-Grs,(Fe0.54Mg0.39Ca0.06Mn0.01)3(Al0.99Fe0.01)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,3.976,302.7,94.7,109.1,173.63333333333333,95.52897040433515,95.54,95.53448520216759,95.53467159963043,95.53462298884138,95.5346472942359,1.8174937873574657,0.26753129287331523,242.18589908458014,8.70100029715448,6.608354974282943,4.901814768911018,1.77505693449275,0.36042286091840103,0.31285100759828216,0.978305785123967,0.0005772906176089165,0.00025815730985695435,0.005772572930869338,0.27510124377898715,0.261270083593368,0.004083444261283316,0.010559662090813094,-0.001081844994915031
Alm-Prp-Spr,(Fe0.60Mg0.28Mn0.09Ca0.03)3(Al0.97Fe0.03)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.043,305.5,95.3,110.3,175.36666666666667,96.20686801820439,96.22,96.2134340091022,96.21365950672882,96.2135965722643,96.21362803949656,1.82268379122687,0.2680908957984307,244.0147594408912,8.6663387878344,6.585998885325103,4.878271722753319,1.776518258999947,0.36104746317512276,0.31194762684124383,0.9764344262295083,0.0006824867115060584,0.00030519650735142366,0.0068244013587371605,0.2763210633258064,0.26128244423948793,0.004048893652955089,0.010493179433368312,-0.0010740571667170425
Alm-Prp-Spr,(Fe0.64Mg0.22Mn0.11Ca0.03)3(Al0.98Fe0.02)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.131,306.7,94.9,111.9,176.83333333333334,95.88443983402489,95.9,95.89221991701245,95.89249829934987,95.89241696075639,95.89245763005313,1.8440842592482412,0.2703701845234044,243.63723422066798,8.588181948094121,6.5426617657276855,4.817969971330365,1.7825312318670812,0.36485164656015656,0.30942288881643304,0.9743326488706366,0.0008114020378098274,0.0003628405825625324,0.008113362058247876,0.27934933575383836,0.2629305814448826,0.004050651529783804,0.01053740779768177,-0.0010828186960888861
Alm-Prp,(Fe0.76Mg0.21Ca0.03)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.1602,306.2,92.7,112.5,177.0666666666667,94.31657737157265,94.36,94.33828868578632,94.33915587336564,94.33877335824316,94.3389646158044,1.8769332063720678,0.2737829392890129,240.3330052993527,8.53212949304759,6.523960170892776,4.761972598729744,1.7917216691510434,0.3674069235793599,0.30274330502939256,0.9571502323180177,0.002301961629517457,0.001029231630042892,0.02301431848736357,0.2888833550081634,0.2612691788425265,0.004069258448352003,0.010787486515641855,-0.001093364163935038
Alm-Prp-Grs-Spr,(Fe0.72Mg0.20Ca0.05Mn0.05)3(Al0.98Fe0.02)2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.132,302.3,94.4,110.6,174.5,94.97470347433612,94.98000000000002,94.97735173716808,94.97744158748729,94.97742535850035,94.97743347299382,1.837280117926386,0.2696503724742772,241.1760600194318,8.536926069952585,6.498566377012515,4.794351502085439,1.7806216474197205,0.3658617267614952,0.312272576910354,0.9848721961398017,0.0002788387575920481,0.00012469700634416405,0.002788309827037131,0.27492176006241287,0.26527837690075134,0.004114395951569902,0.01059322033898305,-0.0011020881381536235
Alm-Prp,(Fe0.81Mg0.14Ca0.04Mn0.01)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.183,304.8,94.4,112.3,176.46666666666667,95.13139985341849,95.14000000000001,95.13569992670925,95.13585231366642,95.13581875287205,95.13583553326924,1.8548942910244341,0.271504575468127,241.93095549434716,8.51534967868951,6.495123433515864,4.769005535781332,1.7855608710872244,0.36843832020997375,0.30971128608923887,0.9807792207792209,0.00045201408760764394,0.00020213770856451467,0.004519936568582575,0.27821676410018226,0.2659326029906481,0.0040928470849135755,0.01059322033898305,-0.0011019581098916196
Alm-Spr,(Fe0.52Mn0.46Ca0.01)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.2396,306.5,94.36,111.3,176.36666666666667,95.62983884366174,95.65599999999999,95.64291942183087,95.64340137390641,95.64322382098912,95.64331259744776,1.844011744233837,0.2703625368567352,243.0023634982027,8.466348910883372,6.4497935209244766,4.7496758377485655,1.782510891289916,0.3631321370309951,0.30786296900489396,0.9668032786885247,0.001367834383837696,0.000611630475738889,0.013676473123360114,0.2820059209423856,0.26072672430379273,0.004045301176448718,0.0105977108944468,-0.0010776496432234137
Spr-Alm,(Mn0.54Fe0.46)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.249,308.5,94.8,112.3,177.70000000000002,96.09299442033479,96.11999999999999,96.10649721016739,96.10699912142547,96.1068133369059,96.10690622916569,1.8489904965675994,0.270886431633431,244.28088659243588,8.484088582049845,6.46696258559991,4.7559032252969144,1.783906900569907,0.3640194489465154,0.3072933549432739,0.9663608562691132,0.001405179421668734,0.0006283270543971546,0.014049819964899953,0.28268932271364855,0.26111503746922937,0.004023166863331454,0.010548523206751054,-0.0010736730958938265
Spr-Alm,(Mn0.55Fe0.44Ca0.01)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.247,307.3,95.2,109.7,175.5666666666667,96.60805258833197,96.64000000000001,96.62402629416599,96.62459913483235,96.62436085610912,96.62447999547074,1.8170083922208398,0.26747881787433436,244.9378132511762,8.466039051301788,6.429539982077395,4.769813898652264,1.7749202025877595,0.35698014969085584,0.3097949886104784,0.9635627530364371,0.0016534549042290791,0.0007393252753534795,0.016531815581137414,0.2802581085782133,0.25693356813852913,0.004006690500549982,0.010504201680672268,-0.0010540382443892879
Spr-Alm-Grs,(Mn0.75Fe0.18Ca0.05Mg0.02)3Al2Si3O12,Silicate,"Garnet, Ia-3d",7.0,9.AD,4.172,305.5,96.2,111.9,176.4333333333333,96.43910521955263,96.44000000000001,96.43955260977631,96.43956703777158,96.43956591961138,96.43956647869149,1.8294706742080824,0.26881862699691456,244.72860146106618,8.550501427376302,6.503066120509718,4.807900193315388,1.7784273973208509,0.36628477905073653,0.3148936170212766,0.9938016528925621,4.639095548153449e-05,2.074656975440497e-05,0.0004639074027036176,0.2709711363697814,0.26703217623640413,0.004073288750306424,0.010395010395010394,-0.0010920005058919237
